index,time,dc,bytes
900,2021-03-13 13:09:22,611,611.0
901,2021-03-13 13:09:32,611,611.0
902,2021-03-13 13:10:12,2206,611.0
903,2021-03-13 13:10:23,2206,2206.0
904,2021-03-13 13:10:34,2206,2206.0
905,2021-03-13 13:11:13,428,2206.0
906,2021-03-13 13:11:24,428,428.0
907,2021-03-13 13:11:35,428,428.0
908,2021-03-13 13:12:15,364,428.0
909,2021-03-13 13:12:26,364,364.0
910,2021-03-13 13:12:37,364,364.0
911,2021-03-13 13:13:16,318,364.0
912,2021-03-13 13:13:27,318,318.0
913,2021-03-13 13:13:38,318,318.0
914,2021-03-13 13:14:18,360,360.0
915,2021-03-13 13:14:29,360,360.0
916,2021-03-13 13:14:39,360,360.0
917,2021-03-13 13:15:13,321,360.0
918,2021-03-13 13:15:24,321,321.0
919,2021-03-13 13:15:35,321,321.0
920,2021-03-13 13:16:08,396,321.0
921,2021-03-13 13:16:19,396,396.0
922,2021-03-13 13:16:30,396,396.0
923,2021-03-13 13:17:04,569,396.0
924,2021-03-13 13:17:15,569,569.0
925,2021-03-13 13:17:26,569,569.0
926,2021-03-13 13:17:59,588,569.0
927,2021-03-13 13:18:10,588,588.0
928,2021-03-13 13:18:21,588,588.0
929,2021-03-13 13:19:00,541,588.0
930,2021-03-13 13:19:11,541,541.0
931,2021-03-13 13:19:22,541,541.0
932,2021-03-13 13:20:02,573,541.0
933,2021-03-13 13:20:13,573,573.0
934,2021-03-13 13:20:24,573,573.0
935,2021-03-13 13:20:57,2226,573.0
936,2021-03-13 13:21:08,2226,2226.0
937,2021-03-13 13:21:19,2226,2226.0
938,2021-03-13 13:21:58,972,2226.0
939,2021-03-13 13:22:09,972,972.0
940,2021-03-13 13:22:20,972,972.0
941,2021-03-13 13:22:53,557,972.0
942,2021-03-13 13:23:04,557,557.0
943,2021-03-13 13:23:15,557,557.0
944,2021-03-13 13:23:54,557,557.0
945,2021-03-13 13:24:05,557,557.0
946,2021-03-13 13:24:16,557,557.0
947,2021-03-13 13:24:49,428,557.0
948,2021-03-13 13:25:00,428,428.0
949,2021-03-13 13:25:11,428,428.0
950,2021-03-13 13:25:45,403,428.0
951,2021-03-13 13:25:56,403,403.0
952,2021-03-13 13:26:07,403,403.0
953,2021-03-13 13:26:40,2028,403.0
954,2021-03-13 13:26:51,2028,2028.0
955,2021-03-13 13:27:02,2028,2028.0
956,2021-03-13 13:27:35,2030,2028.0
957,2021-03-13 13:27:46,2030,2030.0
958,2021-03-13 13:27:57,2030,2030.0
959,2021-03-13 13:28:30,548,2030.0
960,2021-03-13 13:28:41,548,548.0
961,2021-03-13 13:28:52,548,548.0
962,2021-03-13 13:29:25,565,548.0
963,2021-03-13 13:29:36,565,565.0
964,2021-03-13 13:29:47,565,565.0
965,2021-03-13 13:30:27,399,565.0
966,2021-03-13 13:30:38,399,399.0
967,2021-03-13 13:30:49,399,399.0
968,2021-03-13 13:31:28,1631,399.0
969,2021-03-13 13:31:39,1631,1631.0
970,2021-03-13 13:31:50,1631,1631.0
971,2021-03-13 13:32:23,1623,1631.0
972,2021-03-13 13:32:34,1623,1623.0
973,2021-03-13 13:32:45,1623,1623.0
974,2021-03-13 13:33:24,588,1623.0
975,2021-03-13 13:33:35,588,588.0
976,2021-03-13 13:33:46,588,588.0
977,2021-03-13 13:34:20,479,479.0
978,2021-03-13 13:34:30,479,479.0
979,2021-03-13 13:34:41,479,479.0
980,2021-03-13 13:35:23,294,294.0
981,2021-03-13 13:35:34,294,294.0
982,2021-03-13 13:35:45,294,294.0
983,2021-03-13 13:36:22,311,294.0
984,2021-03-13 13:36:33,311,311.0
985,2021-03-13 13:36:44,311,311.0
986,2021-03-13 13:37:17,351,311.0
987,2021-03-13 13:37:28,351,351.0
988,2021-03-13 13:37:39,351,351.0
989,2021-03-13 13:38:19,462,462.0
990,2021-03-13 13:38:30,462,462.0
991,2021-03-13 13:38:41,462,462.0
992,2021-03-13 13:39:20,333,462.0
993,2021-03-13 13:39:31,333,333.0
994,2021-03-13 13:39:42,333,333.0
995,2021-03-13 13:40:22,1745,1745.0
996,2021-03-13 13:40:33,1745,1745.0
997,2021-03-13 13:40:44,1745,1745.0
998,2021-03-13 13:41:17,2071,2071.0
999,2021-03-13 13:41:28,2071,2071.0
1000,2021-03-13 13:41:39,2071,2071.0
1001,2021-03-13 13:42:26,1570,1570.0
1002,2021-03-13 13:42:37,1570,1570.0
1003,2021-03-13 13:42:48,1570,1570.0
1004,2021-03-13 13:43:20,1894,1570.0
1005,2021-03-13 13:43:31,1894,1894.0
1006,2021-03-13 13:43:42,1894,1894.0
1007,2021-03-13 13:44:21,420,1894.0
1008,2021-03-13 13:44:32,420,420.0
1009,2021-03-13 13:44:43,420,420.0
1010,2021-03-13 13:45:23,315,315.0
1011,2021-03-13 13:45:34,315,315.0
1012,2021-03-13 13:45:45,315,315.0
1013,2021-03-13 13:46:18,183,183.0
1014,2021-03-13 13:46:29,183,183.0
1015,2021-03-13 13:46:40,183,183.0
1016,2021-03-13 13:47:19,119,183.0
1017,2021-03-13 13:47:30,119,119.0
1018,2021-03-13 13:47:41,119,119.0
1019,2021-03-13 13:48:21,141,141.0
1020,2021-03-13 13:48:32,141,141.0
1021,2021-03-13 13:48:43,141,141.0
1022,2021-03-13 13:49:23,143,143.0
1023,2021-03-13 13:49:34,143,143.0
1024,2021-03-13 13:49:45,143,143.0
1025,2021-03-13 13:50:24,143,143.0
1026,2021-03-13 13:50:35,143,143.0
1027,2021-03-13 13:50:46,143,143.0
1028,2021-03-13 13:51:25,144,143.0
1029,2021-03-13 13:51:36,144,144.0
1030,2021-03-13 13:51:47,144,144.0
1031,2021-03-13 13:52:20,382,144.0
1032,2021-03-13 13:52:31,382,382.0
1033,2021-03-13 13:52:42,382,382.0
1034,2021-03-13 13:53:16,314,314.0
1035,2021-03-13 13:53:27,314,314.0
1036,2021-03-13 13:53:38,314,314.0
1037,2021-03-13 13:54:17,363,314.0
1038,2021-03-13 13:54:28,363,363.0
1039,2021-03-13 13:54:39,363,363.0
1040,2021-03-13 13:55:12,403,363.0
1041,2021-03-13 13:55:23,403,403.0
1042,2021-03-13 13:55:34,403,403.0
1043,2021-03-13 13:56:07,428,403.0
1044,2021-03-13 13:56:19,428,428.0
1045,2021-03-13 13:56:30,428,428.0
1046,2021-03-13 13:57:03,378,378.0
1047,2021-03-13 13:57:13,378,378.0
1048,2021-03-13 13:57:24,378,378.0
1049,2021-03-13 13:58:04,403,378.0
1050,2021-03-13 13:58:15,403,403.0
1051,2021-03-13 13:58:26,403,403.0
1052,2021-03-13 13:59:05,1957,403.0
1053,2021-03-13 13:59:16,1957,1957.0
1054,2021-03-13 13:59:27,1957,1957.0
1055,2021-03-13 14:00:06,583,1957.0
1056,2021-03-13 14:00:17,583,583.0
1057,2021-03-13 14:00:28,583,583.0
1058,2021-03-13 14:01:01,535,583.0
1059,2021-03-13 14:01:12,535,535.0
1060,2021-03-13 14:01:23,535,535.0
1061,2021-03-13 14:02:02,540,535.0
1062,2021-03-13 14:02:13,540,540.0
1063,2021-03-13 14:02:24,540,540.0
1064,2021-03-13 14:03:03,1991,540.0
1065,2021-03-13 14:03:14,1991,1991.0
1066,2021-03-13 14:03:25,1991,1991.0
